,credit_score,gender,age,tenure,balance,products_number,credit_card,active_member,estimated_salary,churn
4303,573,Male,56,3,154669.77,1,0,1,115462.27,1
6750,618,Female,42,2,0.0,4,0,0,111097.39,1
6555,641,Male,35,5,0.0,2,1,0,93148.93,0
815,745,Male,25,5,157993.15,2,1,0,146041.45,0
2404,631,Male,37,8,138292.64,2,0,0,152422.91,1
5397,723,Female,40,7,142856.95,2,0,0,38019.74,0
9956,520,Female,46,10,85216.61,1,1,0,117369.52,1
2131,614,Male,38,2,116248.88,1,1,0,105140.92,0
1797,647,Male,44,4,93960.35,1,1,0,36579.53,1
3090,734,Female,43,3,55853.33,2,0,1,94811.85,1
4184,598,Male,59,8,118210.42,2,0,0,60192.14,1
4564,650,Male,23,4,93911.3,2,1,0,69055.45,0
5030,562,Male,33,8,92659.2,2,1,0,1354.25,0
8048,548,Male,33,6,0.0,1,1,1,31728.35,0
122,656,Female,39,6,0.0,2,1,0,141069.88,0
179,754,Female,55,3,161608.81,1,1,0,8080.85,1
9250,713,Male,42,0,109121.71,1,0,1,167873.49,0
8095,850,Female,36,6,143644.16,1,1,0,22102.25,1
6429,713,Male,38,6,116980.78,2,0,1,76038.38,0
9737,710,Male,22,8,0.0,3,1,0,107292.91,0
4992,794,Female,62,9,123681.32,3,1,0,173586.63,1
1157,700,Male,54,1,79415.67,1,0,1,139735.54,0
9003,676,Male,33,6,171490.78,1,0,0,79099.64,0
1532,661,Female,32,1,145980.23,1,0,1,56636.28,0
8992,608,Female,40,8,121729.42,1,0,0,61164.45,0
7859,766,Female,28,3,62717.84,2,1,1,13182.43,0
9110,688,Male,29,9,144553.5,2,1,0,143454.95,0
1535,764,Female,33,9,168964.77,1,0,1,118982.51,0
9259,800,Female,40,3,75893.11,2,1,0,132562.23,0
5517,465,Male,33,8,0.0,2,1,0,177668.55,0
2605,635,Female,34,5,98683.47,2,1,0,15733.19,0
6127,759,Female,33,2,0.0,2,1,0,56583.88,0
9141,850,Female,43,8,92244.83,2,1,0,54949.73,0
7458,728,Female,43,5,0.0,1,1,1,120088.17,0
2177,667,Female,24,4,0.0,2,0,1,34335.55,0
7990,664,Male,32,5,133705.74,1,0,0,134455.84,0
2351,651,Male,35,7,74623.5,3,1,0,129451.29,1
9177,453,Female,28,3,139986.65,1,1,0,136846.75,0
3502,735,Male,46,2,106344.95,1,1,0,114371.33,1
2134,713,Male,44,1,63438.91,1,1,0,64375.4,0
1480,646,Male,30,5,98014.74,1,1,1,12757.14,0
2793,627,Male,23,5,184244.86,1,1,0,103099.22,0
4843,654,Male,29,2,91955.61,1,1,0,37065.66,0
9780,816,Female,40,9,109003.26,1,1,1,79580.56,0
9934,692,Female,43,10,118588.83,1,1,1,161241.65,1
4762,756,Male,34,1,103133.26,1,1,1,90059.04,0
7191,501,Male,42,9,114631.23,1,0,1,91429.74,0
6041,775,Male,45,8,0.0,1,1,0,130376.68,0
9636,648,Female,40,5,139973.65,1,1,1,667.66,1
3445,660,Male,28,1,118402.25,2,1,0,14288.93,0
8149,492,Female,38,8,57068.43,2,1,0,188974.81,0
7765,683,Female,49,7,108797.63,2,0,0,140763.18,0
3620,773,Male,41,4,0.0,2,1,1,24924.92,0
1952,624,Male,27,9,94667.29,2,0,1,4470.52,0
555,590,Female,51,3,154962.99,3,0,1,191932.27,1
4264,667,Female,56,8,137464.04,1,1,0,130846.79,1
1163,747,Female,32,5,67495.04,2,0,1,77370.37,0
1584,671,Female,42,3,0.0,2,1,1,128449.33,0
6151,727,Female,31,10,96997.09,2,0,0,76614.04,0
9720,803,Female,40,6,165526.71,1,1,0,12328.08,0
5837,850,Female,35,6,81684.97,1,1,0,824.0,0
5261,714,Female,26,9,89928.99,1,1,0,46203.31,0
5239,766,Male,44,3,116822.7,1,0,0,197643.24,0
7913,805,Male,24,6,143221.35,2,1,0,186035.72,0
9162,665,Male,63,7,104469.58,1,1,1,25165.36,1
1598,601,Female,48,8,120782.7,1,1,0,63940.68,1
7182,692,Male,49,6,110540.43,2,0,1,107472.99,0
300,694,Female,31,10,0.0,2,1,0,160990.27,0
9660,550,Female,30,4,0.0,2,1,0,89216.29,0
6947,715,Male,31,7,0.0,1,1,1,149970.59,0
3794,496,Male,32,4,127845.83,1,1,0,66469.2,0
4572,669,Female,30,7,139872.81,1,1,0,188795.85,0
4335,708,Female,64,5,0.0,3,0,1,112520.07,1
2858,607,Male,25,3,0.0,2,0,0,187048.72,0
5694,660,Female,31,6,172325.67,1,0,1,45438.38,0
3142,697,Female,76,7,0.0,2,0,1,188772.45,0
1359,431,Male,37,0,120764.08,1,1,1,117023.08,0
4533,850,Male,39,6,206014.94,2,0,1,42774.84,1
9749,533,Female,35,8,0.0,2,1,1,187900.12,0
5687,505,Female,37,6,159863.9,2,0,1,125307.87,0
486,641,Male,37,7,0.0,2,1,0,75248.3,0
7836,648,Male,42,4,0.0,2,1,0,19283.14,0
9554,779,Female,29,3,46388.16,3,1,0,127939.26,1
5900,583,Female,27,4,0.0,3,1,0,163113.41,0
8116,640,Female,43,9,94752.49,1,1,0,184006.36,1
7362,707,Male,73,6,66573.17,1,1,1,62768.8,0
1152,652,Male,45,2,151421.44,1,0,1,115333.43,0
5382,724,Female,40,6,110054.45,1,1,1,86950.72,0
9741,758,Male,35,7,0.0,2,1,0,77951.84,0
5424,580,Male,44,9,143391.07,1,0,0,146891.07,1
8807,586,Female,60,3,47020.65,2,0,1,63241.21,1
5186,639,Male,32,9,0.0,2,1,0,111340.36,0
8409,749,Male,38,9,129378.32,1,1,1,13549.34,0
6189,714,Male,39,3,149887.49,2,1,0,63846.36,0
9702,644,Female,31,5,86006.3,1,1,1,73922.95,0
8269,611,Female,53,7,0.0,2,0,1,156495.39,1
5314,743,Male,45,10,144677.19,3,1,0,22512.44,1
9903,606,Female,36,10,0.0,2,0,1,155641.46,0
665,661,Male,33,9,0.0,2,1,1,84174.81,0
3353,508,Female,31,7,0.0,2,1,1,6123.15,0
8851,782,Male,42,7,126428.38,1,1,0,39830.1,0
8061,477,Male,31,9,0.0,2,0,1,184061.17,0
642,583,Female,27,1,125406.58,1,1,1,110784.42,0
9242,612,Male,32,9,106520.73,2,1,0,177092.16,0
176,510,Female,30,0,0.0,2,1,1,130553.47,0
6431,540,Male,39,1,0.0,1,0,1,108419.41,0
9910,624,Male,55,7,118793.6,1,1,1,95022.02,1
3438,445,Female,30,3,0.0,2,1,1,127939.19,0
786,688,Male,26,1,0.0,2,1,1,104435.94,0
6391,726,Female,38,5,126875.62,1,1,0,128052.29,0
9065,556,Female,30,7,0.0,2,1,1,186648.19,0
9927,814,Female,31,6,87772.52,1,1,0,188516.45,0
3202,564,Female,33,4,135946.26,1,1,0,63170.0,0
4803,802,Male,41,5,0.0,2,1,1,134626.3,0
7835,665,Female,41,8,96147.55,1,1,0,137037.97,0
7940,781,Female,29,6,98759.89,1,0,0,112202.64,0
91,808,Male,45,7,118626.55,2,1,0,147132.46,0
5762,733,Male,39,5,91538.51,1,1,1,93783.0,0
9027,802,Male,37,9,115569.21,1,0,1,119782.89,0
9504,560,Female,44,5,143244.97,1,1,0,98661.27,0
8237,649,Male,39,3,113096.41,1,1,1,60335.24,0
1971,582,Male,26,4,65848.36,2,1,0,30149.21,0
2905,680,Male,32,7,175454.0,1,0,1,77349.92,0
530,519,Female,57,2,119035.35,2,1,1,29871.79,0
3635,740,Female,37,5,0.0,2,1,1,27528.4,0
996,811,Male,44,3,0.0,2,0,1,78439.73,0
5852,544,Male,22,3,66483.32,1,0,1,110317.39,0
4226,651,Female,36,8,0.0,2,1,0,91652.43,0
5616,805,Male,26,2,0.0,2,1,1,25042.1,0
2312,545,Female,55,5,0.0,1,0,0,10034.77,1
2154,606,Male,65,10,126306.64,3,0,0,7861.68,1
5317,700,Male,37,1,135179.49,1,1,0,160670.37,0
1427,792,Female,59,9,101609.77,1,0,0,161479.19,1
8630,706,Female,44,2,185932.18,2,1,0,65413.41,0
6032,686,Male,39,4,0.0,2,1,0,155023.93,0
4415,764,Female,24,0,0.0,2,1,0,88724.49,0
8818,677,Female,37,3,0.0,2,1,1,38252.25,0
3085,734,Female,54,3,0.0,1,1,0,130805.54,1
7798,518,Male,46,3,0.0,2,1,0,76515.79,0
9153,507,Male,36,9,118214.32,3,1,0,119110.03,1
8209,706,Male,32,5,88348.43,2,1,1,104181.78,0
9573,652,Male,35,7,104015.54,2,1,1,55207.88,0
9534,773,Male,52,2,0.0,2,1,0,57337.79,0
495,765,Male,36,8,92310.54,2,1,1,72924.56,0
3749,427,Male,33,8,0.0,1,1,1,13858.95,0
2321,545,Male,45,6,93796.42,2,1,1,162321.26,0
4267,711,Female,41,3,145754.91,1,1,1,101455.07,0
3405,694,Male,60,9,0.0,1,1,1,57088.97,0
151,535,Female,48,9,0.0,1,1,0,149892.79,1
7369,644,Female,26,4,153455.72,2,1,1,82696.84,0
694,796,Female,45,2,109730.22,1,1,1,123882.73,0
4417,608,Male,27,4,153325.1,1,1,1,199953.33,0
5697,567,Male,39,5,0.0,2,0,0,168521.72,0
1738,796,Male,41,8,107525.07,1,1,0,18510.41,0
3001,696,Female,43,4,0.0,2,1,1,66406.37,0
167,615,Female,41,9,109013.23,1,1,0,196499.96,0
6111,648,Male,23,9,168372.52,1,1,0,134676.72,0
4622,564,Male,48,5,132876.23,1,1,0,79259.77,0
2865,715,Male,21,6,76467.16,1,1,1,173511.72,0
8544,689,Female,46,7,52016.08,2,1,1,72993.65,0
4702,660,Male,33,0,72783.42,1,0,0,181051.99,0
2883,559,Female,38,8,95139.41,1,1,1,86575.46,0
3031,678,Female,22,4,174852.89,1,1,1,28149.06,0
8183,621,Female,59,2,0.0,2,1,1,171364.18,0
8980,650,Female,35,3,165982.43,2,1,1,24482.16,0
8528,534,Male,35,4,0.0,2,0,0,9541.15,0
5681,529,Female,39,2,82766.43,1,1,1,122925.44,0
7209,653,Male,47,6,0.0,1,1,0,50695.93,1
5991,680,Male,27,3,0.0,1,1,0,32454.26,0
2276,542,Female,59,2,68892.77,2,1,0,7905.06,1
7132,707,Male,48,8,88441.64,1,1,1,119903.2,1
5705,628,Male,40,5,181768.32,2,1,1,129107.97,0
7998,829,Male,28,3,132405.52,3,1,0,104889.2,1
5292,745,Female,28,6,0.0,2,1,0,154389.18,0
4304,555,Male,50,7,128061.0,2,1,1,62375.1,0
7445,516,Female,45,4,0.0,1,1,0,95273.73,1
428,486,Female,40,9,71340.09,1,1,0,76192.21,0
7068,699,Female,54,3,111009.32,1,1,1,155905.79,1
6364,527,Male,28,6,128396.33,2,1,0,79919.97,0
4215,789,Female,53,1,158271.74,1,1,1,5036.39,1
426,492,Male,39,10,124576.65,2,1,0,148584.61,0
2223,722,Male,34,8,0.0,2,1,1,133447.49,0
100,665,Female,40,6,0.0,1,1,1,161848.03,0
9244,546,Female,25,3,132837.7,1,1,0,131647.31,0
3307,572,Female,38,7,0.0,2,1,1,133122.62,0
2762,719,Male,28,3,106070.29,2,1,1,183893.31,0
5857,594,Female,56,7,0.0,1,1,0,26215.85,1
4738,702,Female,40,1,103549.24,1,0,0,9712.52,1
7092,758,Male,40,3,0.0,2,0,0,96097.65,0
9632,760,Female,34,6,58003.41,1,1,0,90346.1,0
3286,678,Female,31,1,0.0,2,0,1,130446.65,0
7712,545,Male,30,3,0.0,2,1,0,170307.43,0
7868,611,Female,29,4,78885.88,2,1,1,26927.69,0
6067,563,Female,34,6,0.0,2,0,0,36536.93,0
9235,462,Male,27,4,176913.52,1,1,0,80587.27,0
3577,757,Male,23,2,80673.96,2,1,0,93991.65,0
1465,806,Female,32,3,63763.49,1,1,0,156593.09,0
7675,640,Male,37,5,158024.38,1,1,0,81298.09,0
2234,720,Female,38,10,0.0,2,1,1,56229.72,1
1744,850,Female,39,7,79259.99,1,0,1,186910.74,0
9754,673,Male,40,1,121629.22,1,1,1,3258.6,0
6094,589,Female,31,10,110635.32,1,1,0,148218.86,0
8781,438,Male,60,7,78391.17,1,0,1,49424.6,0
9401,705,Female,46,4,115518.07,1,0,0,76544.9,1
8371,813,Female,29,5,106059.4,1,0,0,187976.88,1
5027,681,Male,37,8,73179.34,2,1,1,25292.53,0
9234,642,Male,49,4,120688.61,1,1,0,24770.22,1
3944,612,Female,31,8,117989.76,1,1,1,54129.86,0
6862,586,Male,33,9,0.0,1,1,0,6975.02,0
5350,477,Female,57,9,114023.64,2,1,1,71167.17,1
9422,701,Male,33,9,147510.34,1,1,0,190611.92,0
2121,671,Male,30,2,0.0,1,0,1,102057.86,0
4972,643,Male,41,2,127841.52,1,1,0,172363.41,0
8576,751,Female,37,9,183613.66,2,0,0,49734.94,0
3784,640,Female,31,9,138857.59,1,1,0,48640.77,0
6872,850,Female,27,7,43658.33,2,1,1,3025.49,0
916,475,Male,39,6,0.0,1,1,1,56999.9,1
9394,597,Female,35,8,131101.04,1,1,1,192852.67,0
7252,567,Male,40,7,122265.24,1,1,0,138552.74,0
8012,747,Female,34,10,0.0,2,1,1,50759.8,0
5821,671,Female,47,7,114603.76,2,1,0,153194.32,1
4403,602,Female,43,2,113641.49,4,1,0,115116.35,1
4863,464,Female,33,10,147493.7,2,1,0,100447.53,0
8515,724,Female,35,0,171982.95,2,0,1,167313.07,0
5422,607,Female,31,1,102523.88,1,1,1,166792.71,0
7733,694,Female,58,1,143212.22,1,0,0,102628.56,1
1203,463,Male,35,2,101257.16,1,1,1,118113.64,0
3768,599,Male,34,2,101506.66,1,0,0,198030.24,0
5357,405,Male,31,5,133299.67,2,1,1,72950.14,0
3852,746,Male,36,9,127157.04,1,1,1,155700.15,0
1926,693,Male,31,1,0.0,2,0,1,182270.88,0
3114,619,Female,40,10,0.0,1,1,1,147093.84,1
2641,538,Female,28,6,164365.44,1,0,1,5698.97,0
7639,541,Male,46,6,0.0,2,1,1,83456.67,0
7360,644,Male,54,6,0.0,1,0,1,84622.37,0
8182,562,Male,36,5,0.0,1,0,1,182843.24,0
7610,762,Male,36,5,119547.46,1,1,1,42693.65,0
2728,749,Male,46,10,78136.36,2,1,1,73470.98,0
9597,509,Male,26,10,0.0,2,1,1,6177.83,0
4985,554,Male,26,4,121365.39,1,1,1,8742.36,0
6846,689,Female,40,5,154251.67,1,0,1,118319.5,0
7698,592,Male,60,9,0.0,4,1,1,13614.01,1
4012,554,Male,46,4,0.0,2,0,1,57320.92,0
2626,568,Female,29,2,129177.01,2,0,1,104617.99,0
7238,697,Male,62,7,0.0,1,1,0,129188.18,1
8255,575,Female,40,1,139532.34,1,1,0,181294.39,0
9565,582,Female,38,9,135979.01,4,1,1,76582.95,1
805,790,Female,46,9,0.0,1,0,0,14679.81,1
4634,610,Female,45,3,0.0,1,1,0,38276.84,1
5247,633,Male,59,5,0.0,1,1,1,137273.97,0
5566,633,Male,42,3,126041.02,1,0,1,11796.89,0
5739,712,Female,30,1,89571.59,1,1,1,177613.19,0
5143,646,Male,31,2,0.0,1,1,1,170821.43,1
8265,618,Female,40,0,140306.38,1,1,0,160618.61,1
4459,672,Female,23,10,110741.56,1,1,0,80778.5,0
1242,696,Male,30,4,114027.7,1,1,1,193716.56,0
6945,554,Female,31,6,135470.9,1,1,0,107074.81,0
5740,620,Female,34,8,102251.57,1,1,0,120672.09,0
5325,529,Female,43,0,123815.86,1,1,1,78463.99,1
547,479,Female,30,7,143964.36,2,1,0,41879.99,0
3022,648,Female,27,7,0.0,2,1,1,163060.43,0
5761,710,Female,31,3,0.0,2,1,1,112289.06,0
4031,688,Male,37,7,138162.41,2,1,1,113926.31,0
26,756,Male,36,2,136815.64,1,1,1,170041.95,0
4952,679,Male,58,9,109327.65,1,1,1,3829.13,0
5152,585,Male,36,10,0.0,2,1,1,180318.6,0
2508,677,Male,46,2,57037.74,1,1,1,158531.01,0
1433,755,Male,62,1,127706.33,2,0,1,142377.69,0
2582,656,Female,46,5,113402.14,2,1,1,138849.06,0
1302,428,Female,31,2,0.0,2,1,0,54487.43,0
5812,850,Male,41,3,136416.82,1,0,1,57844.26,0
7349,632,Male,42,6,59972.26,2,0,1,148172.94,0
5281,687,Male,31,3,0.0,2,0,0,48228.1,0
6114,627,Female,44,5,0.0,2,1,0,82969.61,1
1221,791,Male,37,2,163789.49,2,1,0,75832.53,0
7435,610,Female,50,5,130554.51,3,1,0,184758.17,1
2548,524,Male,50,4,0.0,2,1,1,31840.59,1
750,649,Male,41,0,0.0,2,0,1,130567.02,0
437,516,Male,35,10,104088.59,2,0,0,119666.0,0
4371,563,Female,35,2,183572.84,1,1,1,66006.75,1
4448,565,Female,40,1,89994.71,2,0,1,121084.27,0
2847,529,Male,38,7,99842.5,2,1,0,90256.06,1
1173,478,Female,36,3,92363.3,2,1,0,44912.7,0
7495,557,Female,27,2,0.0,2,0,1,4497.55,0
2699,633,Female,29,8,104944.1,1,1,1,97684.46,0
9888,637,Female,21,10,125712.2,1,0,0,175072.47,0
9506,682,Male,69,6,0.0,2,0,1,149604.18,0
6395,741,Female,36,0,127675.39,2,1,0,74260.16,0
2481,475,Female,57,1,0.0,2,1,0,89248.99,0
5456,659,Male,34,9,134464.58,2,1,0,178833.34,0
8444,792,Female,70,3,0.0,2,1,1,172240.27,0
2706,696,Male,22,9,149777.0,1,1,1,198032.93,0
4661,780,Female,43,0,0.0,1,0,1,15705.27,0
326,594,Male,35,2,0.0,2,1,0,103480.69,0
1039,714,Female,72,3,0.0,1,1,1,86733.61,0
2637,647,Female,29,0,98263.46,2,1,0,164717.95,0
5022,734,Male,45,2,0.0,2,1,0,99593.28,0
2499,614,Female,37,8,75150.34,4,0,1,131766.67,1
1004,601,Female,26,7,105514.69,2,1,0,50070.59,0
2861,525,Female,25,6,0.0,2,1,0,89566.64,0
3233,595,Male,36,6,85768.42,1,1,1,24802.77,0
1870,624,Male,33,6,0.0,2,0,0,76551.7,0
4245,732,Female,34,8,122338.43,2,1,0,187985.85,0
6927,601,Female,37,5,0.0,1,0,0,20708.6,0
8385,605,Female,62,4,111065.93,2,0,1,125660.99,0
534,550,Female,40,7,114354.95,1,1,0,54018.93,0
9827,602,Male,33,5,0.0,2,0,1,64038.34,0
7148,770,Male,30,8,0.0,2,0,1,50839.85,0
7365,568,Female,36,10,153610.61,1,1,1,54083.8,1
585,760,Female,51,2,100946.71,1,0,0,179614.8,1
9914,496,Female,34,1,102723.35,2,1,0,180844.81,0
3035,817,Male,45,9,101207.75,1,0,0,88211.12,1
4428,602,Female,35,5,0.0,2,1,0,31050.02,0
4089,662,Female,47,6,0.0,2,1,1,129392.75,0
1703,790,Male,42,1,85839.62,1,1,0,198182.73,0
4295,476,Female,34,8,111905.43,1,0,1,197221.81,1
5719,692,Male,27,1,125547.53,1,0,0,7900.46,0
491,710,Female,41,2,156067.05,1,1,1,9983.88,0
6899,569,Male,66,2,0.0,1,1,0,130784.2,1
4353,805,Female,31,4,0.0,2,1,0,4798.12,0
2836,679,Male,60,8,0.0,2,1,1,51380.9,0
2266,617,Female,37,4,116471.43,2,1,0,175324.74,1
7718,740,Female,60,5,108028.08,2,0,0,25980.42,1
9523,660,Female,32,0,114668.89,1,1,0,84605.0,0
8022,616,Female,31,3,136789.14,1,1,0,59346.4,1
4707,511,Male,27,8,0.0,2,1,1,49089.36,0
9843,646,Male,24,0,92398.08,1,1,1,18897.29,0
2900,626,Female,26,8,148610.41,3,0,1,104502.02,1
9618,581,Female,24,3,95508.2,1,1,1,45755.0,0
2944,576,Male,32,7,0.0,2,1,0,4660.91,0
1916,543,Male,48,1,100900.5,1,0,0,33310.72,1
3185,652,Female,45,9,110827.49,1,1,1,153383.54,1
8626,657,Male,40,7,99165.84,1,0,1,119333.95,1
9434,638,Female,34,7,0.0,2,0,0,3946.29,0
7255,563,Female,32,0,148326.09,1,1,0,191604.27,1
4246,617,Female,30,8,0.0,1,1,1,92621.9,0
8615,658,Female,39,4,0.0,1,1,1,147530.06,0
5146,850,Male,32,2,128647.98,2,0,0,54416.18,0
8565,632,Female,40,9,139625.34,1,1,0,93702.96,1
2518,758,Female,50,2,95813.76,3,1,1,67944.09,1
397,547,Male,32,8,155726.85,1,1,0,67789.99,0
1317,789,Male,37,3,0.0,1,1,0,121883.87,1
4560,624,Female,36,0,0.0,2,1,0,111605.9,0
121,674,Male,39,6,120193.42,1,0,0,100130.95,0
2449,537,Female,46,5,100727.5,1,0,1,140857.76,1
8855,697,Male,43,10,128226.37,1,0,0,188486.94,0
8108,437,Male,35,6,126803.34,2,1,1,161133.4,0
1566,524,Female,37,9,127480.58,2,1,0,179634.69,0
1984,531,Female,45,1,126495.57,2,1,1,164741.5,0
4333,724,Male,34,6,118235.7,2,0,0,157137.23,0
7910,561,Male,28,6,123692.0,1,1,1,70548.96,0
9286,720,Female,29,7,106230.92,1,1,1,69903.93,1
3918,850,Male,29,1,0.0,2,0,0,152996.89,0
2173,698,Female,46,0,0.0,2,1,1,125962.02,0
3283,635,Female,48,4,81556.89,2,1,0,191914.37,0
8495,696,Male,42,4,0.0,1,0,0,126353.13,1
8584,731,Male,19,6,0.0,2,1,1,151581.79,0
2333,484,Male,36,8,0.0,2,1,0,186136.48,0
573,648,Female,49,10,0.0,2,1,1,159835.78,1
3660,494,Male,27,2,0.0,2,1,0,22404.64,0
9075,576,Male,40,9,0.0,2,1,0,112465.19,1
981,749,Female,44,0,71497.79,2,0,0,151083.8,0
9370,561,Male,43,4,0.0,4,0,0,18522.91,1
1407,721,Male,69,2,108424.19,1,1,1,178418.35,0
535,608,Male,59,1,0.0,1,1,0,70649.64,1
4315,632,Male,30,1,58668.02,1,1,1,78670.52,0
4598,638,Male,46,9,139859.54,1,1,0,38967.29,0
8622,706,Male,36,9,58571.18,2,1,0,40774.01,0
8758,663,Male,34,10,0.0,1,1,1,114083.73,0
1434,552,Female,41,9,124349.34,1,1,0,135635.25,0
6994,557,Female,24,4,0.0,1,0,0,20515.72,0
2579,365,Male,30,0,127760.07,1,1,0,81537.85,1
9403,638,Female,36,6,0.0,1,1,0,164247.51,0
3269,664,Male,33,7,97286.16,2,1,0,143433.33,0
